#zl zs sig_0 dsig_0 o_e o_ap  sig_atm
0.5170 	1.3640 	226.00 	40.00 	0.68 	1.00 	1.80 	219.00
0.4370 	0.8970 	277.00 	51.00 	0.61 	1.00 	1.80 	281.00
0.5300 	1.3320 	274.00 	37.00 	1.14 	1.00 	1.80 	268.00
0.5390 	1.1790 	207.00 	35.00 	0.72 	1.00 	1.80 	204.00
0.6420 	1.2970 	266.00 	46.00 	1.37 	1.00 	1.80 	262.00
0.5640 	1.1820 	227.00 	35.00 	1.39 	1.00 	1.80 	225.00
0.3520 	1.0230 	213.00 	16.00 	1.04 	1.00 	1.80 	210.00
0.5220 	1.2890 	247.00 	37.00 	1.21 	1.00 	1.80 	250.00
0.5440 	1.4460 	217.00 	38.00 	0.86 	1.00 	1.80 	207.00
0.4080 	1.0860 	272.00 	14.00 	1.63 	1.00 	1.80 	272.00
0.3910 	0.8740 	215.00 	31.00 	0.65 	1.00 	1.80 	208.00
0.3630 	0.9780 	250.00 	17.00 	1.2 	1.00 	1.80 	247.00
0.4580 	0.9360 	278.00 	31.00 	1.02 	1.00 	1.80 	274.00
0.2270 	0.9310 	232.00 	18.00 	0.96 	1.50 	1.40 	229.00
0.1960 	0.6320 	283.00 	10.00 	1.53 	1.50 	1.40 	279.00
0.1200 	0.1960 	267.00 	13.00 	0.79 	1.50 	1.40 	266.00
0.2940 	0.5250 	259.00 	20.00 	0.69 	1.50 	1.40 	251.00
0.5130 	0.9240 	308.00 	49.00 	0.79 	1.50 	1.40 	295.00
0.3510 	1.0710 	220.00 	22.00 	1.1 	1.50 	1.40 	212.00
0.2060 	0.6880 	219.00 	11.00 	1.25 	1.50 	1.40 	214.00
0.2190 	1.0250 	238.00 	11.00 	1.23 	1.50 	1.40 	236.00
0.2410 	0.5940 	264.00 	15.00 	1.17 	1.50 	1.40 	259.00
0.1160 	0.6570 	222.00 	11.00 	1.41 	1.50 	1.40 	225.00
0.4300 	1.0650 	228.00 	28.00 	1.29 	1.50 	1.40 	223.00
0.1900 	0.5880 	246.00 	12.00 	1.09 	1.50 	1.40 	243.00
0.2220 	0.6080 	266.00 	21.00 	1.38 	1.50 	1.40 	263.00
0.1680 	0.4390 	254.00 	13.00 	1.09 	1.50 	1.40 	247.00
0.2820 	0.5530 	289.00 	18.00 	1.2 	1.50 	1.40 	282.00
0.1910 	0.6960 	247.00 	15.00 	1.41 	1.50 	1.40 	242.00
0.0960 	0.4070 	268.00 	13.00 	1.23 	1.50 	1.40 	262.00
0.1530 	0.4740 	243.00 	12.00 	1.1 	1.50 	1.40 	239.00
0.2220 	0.5040 	225.00 	22.00 	0.98 	1.50 	1.40 	221.00
0.1060 	0.4020 	264.00 	13.00 	1.68 	1.50 	1.40 	269.00
0.1800 	0.8750 	235.00 	16.00 	1.05 	1.50 	1.40 	226.00
0.1640 	0.6310 	275.00 	17.00 	1.31 	1.50 	1.40 	267.00
0.2150 	0.4810 	283.00 	14.00 	1.22 	1.50 	1.40 	281.00
0.1230 	0.6400 	291.00 	15.00 	1.42 	1.50 	1.40 	292.00
0.1350 	0.7170 	218.00 	11.00 	1.45 	1.50 	1.40 	219.00
0.2320 	0.7950 	257.00 	14.00 	1.13 	1.50 	1.40 	252.00
0.2240 	0.7840 	234.00 	23.00 	0.84 	1.50 	1.40 	233.00
0.2050 	0.4810 	268.00 	17.00 	1.35 	1.50 	1.40 	267.00
0.1890 	0.4730 	219.00 	17.00 	0.83 	1.50 	1.40 	213.00
0.2990 	0.8110 	247.00 	26.00 	1.37 	1.50 	1.40 	240.00
0.2850 	0.8050 	227.00 	17.00 	1.12 	1.50 	1.40 	224.00
0.1250 	0.5200 	225.00 	14.00 	1.04 	1.50 	1.40 	223.00
0.3580 	0.7170 	264.00 	26.00 	1.31 	1.50 	1.40 	264.00
0.1600 	0.7440 	281.00 	14.00 	1.71 	1.50 	1.40 	279.00
0.2450 	0.6020 	239.00 	20.00 	1.29 	1.50 	1.40 	236.00
0.2080 	0.5240 	295.00 	14.00 	1.23 	1.50 	1.40 	290.00
0.2480 	0.7930 	281.00 	16.00 	1.78 	1.50 	1.40 	276.00
0.2280 	0.6740 	236.00 	15.00 	1.09 	1.50 	1.40 	231.00
0.2280 	0.4640 	285.00 	17.00 	1.24 	1.50 	1.40 	279.00
