name,numerical_sigma,integral_result,integral_error,epsabs
J1134+6027,225.44623863157992,9090.197386457994,75861464.36836174,0.000149
J2303+1422,269.21744550261343,13046.471822239992,108167730.30349986,0.000149
J1531-0105,261.737887571108,12526.616232847537,102215982.15639877,0.000149
J1204+0358,235.97509836906016,10306.305554387074,83068691.42217796,0.000149
J1016+3859,235.6088847873597,10396.129099946187,82796316.96118361,0.000149
J1153+4612,204.72418165881277,8115.879370683974,62481538.83829582,0.000149
J2341+0000,243.76141190910192,11688.149675428662,88561534.20612226,0.000149
J1403+0006,209.24092068090562,8677.961702293962,65247123.07366158,0.000149
J0936+0913,226.03080057931575,10151.921132421157,76135631.55457985,0.000149
J1023+4230,248.48680484083715,12299.88632239858,92011920.5595879,0.000149
J0037-0942,265.59227192153105,14224.245520830591,105097875.29883981,0.000149
J1402+6321,273.7069826821599,15427.84685149702,111585787.0624693,0.000149
J0728+3835,238.698471377845,11760.256902051631,84863902.01915708,0.000149
J1627-0053,255.0429433932355,13486.342945827135,96877710.70620051,0.000149
J1205+4910,265.47347499493566,14837.239741132073,104942211.4070569,0.000149
J0808+4706,224.3651221673287,10687.985648132104,74949688.85051788,0.000149
J0946+1006,264.04415700134655,14894.928246873851,103795056.30246384,0.000149
J1142+1001,236.8526760658073,11985.106135980763,83518009.99354461,0.000149
J1251-0208,194.48277179379375,8113.75501439911,56307020.54844826,0.000149
J0029-0055,202.32572490824452,8834.574223009487,60935201.71270838,0.000149
J1636+4707,230.18022108245341,11457.349112194375,78866181.16435906,0.000149
J2300+0022,279.6300037138837,16908.912537116918,116391788.9195202,0.000149
J1250+0523,226.8615497929762,11217.101652595597,76600657.19128348,0.000149
J0225-0454,266.1831156579277,10947.368683893146,106016710.88963333,0.000149
J0822+2652,252.05538098495495,14084.921096742766,94538373.21135265,0.000149
J1621+3931,265.1338400619961,15698.885884066949,104593922.0078459,0.000149
J1630+4520,289.80580904412574,18857.779341301935,124957118.77998394,0.000149
J0849-0251,209.4879466356722,7415.454311059924,65562119.53172326,0.000149
J1020+1122,284.55656870331205,19219.278977596165,118984324.8576642,0.000149
J1436-0000,240.00545231044956,13733.524254935252,84643715.25884125,0.000149
J0109+1500,228.07836342979408,12565.055239799161,58795226.37861796,0.000149
J1416+5136,269.10906987955696,17615.44876135492,106416492.99520442,0.000149
J1411+5651,200.52610742471927,9268.196248245476,59806498.30437096,0.000149
J2221+0115,233.71171278757691,12133.807802481017,81276704.60689498,0.000149
J0850-0347,186.86163875164502,5441.389310736196,52237934.81277892,0.000149
J0330-0020,234.7625496080604,14295.51894628523,81860776.23817948,0.000149
J1542+1629,232.3121103845046,15341.108336194586,60998329.64022345,0.000149
J0232-0408,203.52306213278143,7538.08854943512,61808009.31671345,0.000149
J1525+3327,298.02477340048034,23214.09608848542,130514031.23758249,0.000149
J2125+0411,255.23701732266568,18738.30478264287,73631148.93827073,0.000149
J0855-0147,198.12799347166901,6309.326703860882,58694611.61486666,0.000149
J1420+5258,229.64191281277695,10368.499487489058,78599615.23949657,0.000149
J0219-0829,233.1891826217252,10276.382617545589,81093427.9687938,0.000149
J1637+1439,201.12906144578656,11963.864611086778,45721862.91639288,0.000149
J2203+0205,287.24611807366796,17347.44962252685,122863835.18875204,0.000149
J1631+1854,300.945957954236,27202.849909533477,133085200.11654644,0.000149
J0855-0409,234.35565907659387,9286.43151462966,82050485.825251,0.000149
J0903+4116,273.5259485827702,20913.05414210182,111039495.31975989,0.000149
J2222+0012,271.08986266494566,15930.397787537438,109387506.55333306,0.000149
J0747+4448,203.7907017092532,12779.593508586158,46940015.971406765,0.000149
J2303+0037,265.0485905279145,21965.758445713982,79400891.5292043,0.000149
J1420+5630,242.67039624104135,12590.184924594543,87670408.40750492,0.000149
Q0047-2808,234.88539506703063,12093.52687831504,82109018.49622034,0.000149
J0226-0420,264.5731059039929,13723.799538919999,104334302.79802056,0.000149
J0223-0534,257.01928349809606,12992.968821924154,98457134.20663793,0.000149
J0157-0056,252.11133946581703,18833.82234294998,71838791.60276714,0.000149
J0151+0049,198.74415500051157,12843.492267741642,58041882.57022096,0.000149
J1545+2748,270.92421861892706,23937.593458032352,107857021.47793493,0.000149
J1405+5243,256.9244998144733,14497.430552443142,98237915.83486044,0.000149
J0830+5116,261.8350875611257,22462.665100416914,100741510.84662628,0.000149
J0944-0147,219.24295452264428,15829.513704209101,70632417.77288334,0.000149
J1601+2138,224.09232901314564,16583.28642252036,73791572.76430884,0.000149
J1337+3620,311.6547864503817,32417.219475365462,142725118.81170374,0.000149
J0214-0405,277.4509197999776,17637.63382931558,114501301.51335683,0.000149
J1215+0047,319.0585435841626,35205.21049223872,115057587.37879406,0.000149
J0217-0513,270.25538903035215,18686.686498179308,108500501.68411522,0.000149
J1406+5226,264.19404306106856,17478.600984065273,103712777.35380396,0.000149
J0213-0743,340.2446221958699,25159.263219387532,172309524.11988482,0.000149
J0212-0555,260.5123703319585,15198.1107354271,100975924.70205477,0.000149
J1359+5535,249.73202001440737,14462.412098239487,92751933.86575253,0.000149
HST14176+5226,271.04646463579144,18736.818228614913,109140414.15462798,0.000149
CFRS03.1077,274.12399132866346,20020.52120477542,111580502.5061286,0.000149
J2321-0939,240.11094149676404,7447.318511006727,268256520.95946318,1.49e-05
J1106+5228,222.05550791241743,6932.947969824558,229021443.10574478,1.49e-05
J1143-0144,264.8749145654851,10396.325892061825,105059031.75803818,1.49e-05
J0841+3824,230.1139700543922,8225.765506619926,245477894.03422624,1.49e-05
J0044+0113,252.92549381983548,10113.812656804323,94001263.67170684,1.49e-05
J1213+6708,233.44603045395448,8726.556554904057,252501480.6092178,1.49e-05
J1451-0239,206.00465206186786,6852.227039551358,196599219.1387939,1.49e-05
J1218+0830,235.92146968123149,9347.631158593227,257673870.22466865,1.49e-05
J1134+6027,225.44760461293995,9090.307542013321,235062313.83663705,1.49e-05
J2303+1422,269.21744550274946,13046.47182225318,108167730.30340537,1.49e-05
J1531-0105,261.73788757121275,12526.616232857567,102215982.15630949,1.49e-05
J1204+0358,235.97647890561726,10306.42614569781,257394435.6573268,1.49e-05
J1016+3859,235.61024675826764,10396.24929292046,256550463.38790837,1.49e-05
J1153+4612,204.72532568674413,8115.970076320747,193603632.7195518,1.49e-05
J2341+0000,243.76275261556287,11688.278247221531,274414411.9862659,1.49e-05
J1403+0006,209.24206268841883,8678.056428741118,202172998.37835717,1.49e-05
J0936+0913,226.03203110100017,10152.031667738149,235911840.85273764,1.49e-05
J1023+4230,248.4868048409048,12299.886322405278,92011920.55950752,1.49e-05
J0037-0942,265.59227192175445,14224.24552085452,105097875.29874802,1.49e-05
J1402+6321,273.7069826822276,15427.846851504652,111585787.0623718,1.49e-05
J0728+3835,238.6997218649746,11760.380121009277,262957027.28725407,1.49e-05
J1627-0053,255.04294339335192,13486.342945839448,96877710.70611592,1.49e-05
J1205+4910,265.47347499507896,14837.239741148096,104942211.40696524,1.49e-05
J0808+4706,224.3662644552957,10688.094477778688,232237110.30582774,1.49e-05
J0946+1006,264.0441570014722,14894.928246888026,103795056.3023732,1.49e-05
J1142+1001,236.85387436978925,11985.22740830055,258786682.05926436,1.49e-05
J1251-0208,194.48375167846672,8113.83677551486,174471434.66767535,1.49e-05
J0029-0055,202.32673809828353,8834.66270533192,188812193.5917547,1.49e-05
J1636+4707,230.18137144045153,11457.463631904722,244372649.0965004,1.49e-05
J2300+0022,279.6300037140262,16908.91253713415,116391788.91941467,1.49e-05
J1250+0523,226.86267459416325,11217.212883789633,237352756.82828212,1.49e-05
J0225-0454,266.18311565799394,10947.368683898594,106016710.88954072,1.49e-05
J0822+2652,252.0553809851135,14084.921096760483,94538373.2112701,1.49e-05
J1621+3931,265.1338400621377,15698.885884083718,104593922.0077545,1.49e-05
J1630+4520,289.80580904417366,18857.779341308174,124957118.77987067,1.49e-05
J0849-0251,209.48929241998022,7415.549587511522,203149038.20227164,1.49e-05
J1020+1122,284.55656870592895,19219.278977949663,118984324.85755631,1.49e-05
J1436-0000,240.0054523125559,13733.524255176308,262274762.3404532,1.49e-05
J0109+1500,228.07836343237915,12565.05524008399,58795226.37849958,1.49e-05
J1416+5136,269.10906987955156,17615.44876135421,106416492.99511147,1.49e-05
J1411+5651,200.52704697034412,9268.28309891791,185314823.2273146,1.49e-05
J2221+0115,233.7128494289872,12133.925826706556,251841832.832878,1.49e-05
J0850-0347,186.86293822992025,5441.464992313539,161863074.25636306,1.49e-05
J0330-0020,234.76352583074421,14295.63783781126,253651621.5471104,1.49e-05
J1542+1629,232.31211038660413,15341.108336471878,60998329.64010062,1.49e-05
J0232-0408,203.52427351645053,7538.178284175205,191516652.138128,1.49e-05
J1525+3327,298.02477340061336,23214.096088506132,130514031.23746419,1.49e-05
J2125+0411,255.23701732293736,18738.30478268276,73631148.93820275,1.49e-05
J0855-0147,198.12933187218204,6309.411946077,181869561.0693212,1.49e-05
J1420+5258,229.64317645604447,10368.61359662932,243546675.10769996,1.49e-05
J0219-0829,233.19051826101676,10276.500338098083,251273936.88161945,1.49e-05
J1637+1439,201.12906144579148,11963.864611087363,45721862.91630466,1.49e-05
J2203+0205,287.24611807380273,17347.449622543125,122863835.18864058,1.49e-05
J1631+1854,300.94595795427415,27202.849909540368,133085200.11642574,1.49e-05
J0855-0409,234.35716362454988,9286.550751574552,254239451.04916406,1.49e-05
J0903+4116,273.5259485829244,20913.054142125406,111039495.3196629,1.49e-05
J2222+0012,271.0898626650745,15930.397787552582,109387506.55323753,1.49e-05
J0747+4448,203.79070170693325,12779.593508295195,46940015.971316196,1.49e-05
J2303+0037,265.04859052723936,21965.75844560208,79400891.529131,1.49e-05
J1420+5630,242.6716230830459,12590.312226539852,271653193.22451824,1.49e-05
Q0047-2808,234.88655293837527,12093.646109080644,254420818.49956644,1.49e-05
J0226-0420,264.57310590410566,13723.799538931698,104334302.79792944,1.49e-05
J0223-0534,257.0192834982281,12992.968821937502,98457134.20655191,1.49e-05
J0157-0056,252.1113394665716,18833.82234306272,71838791.60270078,1.49e-05
J0151+0049,198.7441549991534,12843.492267566107,179847031.80188346,1.49e-05
